Department Code,Department Name
OAAJ,ECG ELECTRODES
OAAK,ENTERNAL FEEDING
OAAL,EQUIPMENT
OAAM,F
OAAN,GLOVES
OAAO,HARDWARE HOSPITAL
OAAP,INSTRUMENTS
OAAQ,INTRAVENOUS
OAAR,NEEDLES AND LANCET
OAAS,PLASTER & TAPE
OAAT,RESPIRATORY AND FEEDING
OAAU,SPECIALITY FRONTSHOP
OAAV,SUTURES & WOUND CLOSING
OAAW,SYRINGES
OAAX,THEATRE
OAAY,TRAYS
OAAZ,HARDWARE MOBILITY
OPEN,PHARMACY OWN DEPT
PDOA,OTC STOMACH
PDOB,OTC ANALGESICS
PDOC,ANTIINFECTIVES
PDOD,ANTINEMATODAL
PDOE,ANTIHISTAMINES
PDOF,ASPRIN
PDOG,MUSCLE RELAXANT
PDOI,TOPICAL PREPERATIONS
PDOJ,COLD AND FLU
PDOL,VAGINAL PREPERATIONS
PDOM,HOME REMEDIES
PDON,ANTIMALARIALS
PDOO,ADRENERGICS
PDOQ,SEDATIVE HYPNOTICS
PDOR,OTC COUGH
PDOS,OTC
PDOT,VITAMINS AND MINERALS
PDOU,URINARY TRACT
PDOZ,OTC MEDICINE OTHER
PDSS,SCHEDULE
PDST,SCHEDULED
PDSV,DISPENSARY VETINARY
PDWB,TLC DISPENSARY PREPACKS
PPPO,OLD DELETE
SAAA,WOMEN SHOES
SAAB,WOMEN BOOTS
SAAC,WOMEN SANDALS
SABA,MEN SHOES
SABB,MEN BOOTS
SABC,MEN SANDALS
SACA,CHILDREN SHOES
SACB,CHILDREN BOOTS
SACC,CHILDREN SANDALS
SBAA,WOMEN SHOES
SBAB,WOMEN WINTER BOOTS
SBBA,MEN WINTER SHOES
SSSO,SHOES OLD DELETE
YBAA,COLOUR GIFT & VALUE OFFER
ZAAA,SPARE CAND ACCESSORIES INCOME
ZABA,NON-TRADING MARKETING
ZADA,DELIVERY CHARGES
ZAEA,AIRTIME
ZAJA,LADIES HAIR SALON
ZAJB,MENS HAIR SALON
ZAJD,HAIR PROMOTIONS
ZAUB,BEAUTY CLINIC
ZAXA,POS VOUCHERS
ZZZZ,ZDISCONTINUED
